file,size_bytes,width,height,layer_count,scan_flagged,editor,editor_version,state,opened,resave_rejected,issue,render_byte_match_pct,render_perceptual_match_pct,pixels_off_pct,perceptually_off_pct,rmse,ssim_mean,delta_e_mean,objects_rendered_ok,objects_scored,roundtrip_match_pct,native_kept,native_total,native_score_pct,text_kept,text_total,adjustments_kept,adjustments_total,smart_objects_kept,smart_objects_total,groups_kept,groups_total,fills_kept,fills_total,rasters_kept,rasters_total,user_masks_kept,user_masks_total,vector_masks_kept,vector_masks_total,live_effects_kept,live_effects_total,clipped_layers_kept,clipped_layers_total,blend_settings_kept,blend_settings_total
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,photoshop,27.8.0,done,true,false,,100.0000,100.0000,0.0000,0.0000,0.0,1.0,0.0,3,3,100.0000,3,3,100.0000,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,3,3
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,patchy,879a3a8,done,true,false,,100.0000,100.0000,0.0000,0.0000,0.0,1.0,0.0,3,3,100.0000,3,3,100.0000,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,3,3
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,krita,5.3.2.1 (git 0619060),failed,false,false,editor failed to open source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,gimp,3.2.4,failed,false,false,editor failed to open source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,photodemon,2026.01.0251 (testy CLI build),done,true,false,,21.4900,20.7400,78.5060,79.2580,95.035,0.8221,26.53,0,3,20.7400,2,3,66.6700,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,photopea,web (Chrome host),done,true,false,,100.0000,100.0000,0.0000,0.0000,0.087,1.0,0.0,3,3,100.0000,3,3,100.0000,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,3,3
akiko_cycling_okinawa_with_curves.psd,7866169,1200,1799,3,true,affinity,3.2.3.4646,done,true,false,,100.0000,100.0000,0.0000,0.0000,0.0,1.0,0.0,3,3,100.0000,2,3,66.6700,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,2
APP_Icon_1024x1024.psd,6205114,1024,1024,66,true,photoshop,27.8.0,done,true,false,,100.0000,100.0000,0.0000,0.0000,0.0,1.0,0.0,2,2,100.0000,66,66,100.0000,4,4,0,0,0,0,18,18,35,35,9,9,8,8,38,38,24,24,0,0,66,66
APP_Icon_1024x1024.psd,6205114,1024,1024,66,true,patchy,879a3a8,done,true,false,,99.7400,100.0000,0.2620,0.0000,1.135,0.9999,0.02,2,2,100.0000,66,66,100.0000,4,4,0,0,0,0,18,18,35,35,9,9,6,8,38,38,24,24,0,0,66,66
APP_Icon_1024x1024.psd,6205114,1024,1024,66,true,krita,5.3.2.1 (git 0619060),failed,false,false,editor failed to open source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
